Product_ID,Product_Name,Category,Supplier,Total_Units_Sold,Total_Revenue,Avg_Unit_Price,Avg_Lead_Time_Days,Demand_Std_Daily_Proxy,Avg_Daily_Demand,Demand_Std_Daily,Annual_Demand,Holding_Cost_Per_Unit,EOQ,Safety_Stock,Reorder_Point,Cumulative_Revenue_Pct,ABC_Class,Current_Inventory,Inventory_Turnover,Days_of_Inventory,Inventory_Health,Reorder_Alert
SKU1015,Fashion_Item_6,Fashion,Supplier_D,3228,2498450.07,808.05,9.94,3.99,5.9,3.99,2153.97,80.81,231,21,80,96.21,C,224,9.62,37.9,Optimal,False
SKU1026,Home_Item_7,Home & Kitchen,Supplier_A,2280,2151788.61,994.38,3.04,3.11,4.17,3.11,1521.39,99.44,175,9,22,96.82,C,164,9.28,39.3,Optimal,False
SKU1009,Electronics_Item_10,Electronics,Supplier_D,1446,1802326.57,1309.64,7.0,1.98,2.64,1.98,964.88,130.96,121,9,28,97.33,C,78,12.37,29.5,Optimal,False
SKU1029,Home_Item_10,Home & Kitchen,Supplier_D,2637,1802249.72,716.7,7.0,3.08,4.82,3.08,1759.61,71.67,222,13,47,97.83,C,178,9.89,36.9,Optimal,False
SKU1028,Home_Item_9,Home & Kitchen,Supplier_D,2434,1656285.55,716.34,7.0,3.13,4.45,3.13,1624.15,71.63,213,14,45,98.3,C,156,10.41,35.1,Optimal,False
SKU1016,Fashion_Item_7,Fashion,Supplier_A,3429,1619102.13,497.81,7.0,3.92,6.27,3.92,2288.09,49.78,303,17,61,98.76,C,126,18.16,20.1,Optimal,False
SKU1039,Grocery_Item_10,Grocery,Supplier_A,6621,1419061.58,222.44,7.0,7.07,12.1,7.07,4418.03,22.24,630,31,116,99.16,C,133,33.22,11.0,Optimal,False
SKU1004,Electronics_Item_5,Electronics,Supplier_B,1652,1043150.92,661.52,10.0,1.87,3.02,1.87,1102.34,66.15,183,10,40,99.46,C,87,12.67,28.8,Optimal,False
SKU1011,Fashion_Item_2,Fashion,Supplier_C,2948,794589.15,282.38,13.92,3.95,5.39,3.95,1967.13,28.24,373,24,99,99.68,C,139,14.15,25.8,Optimal,False
SKU1022,Home_Item_3,Home & Kitchen,Supplier_D,2538,673557.31,278.9,13.84,3.09,4.64,3.09,1693.55,27.89,348,19,83,99.87,C,91,18.61,19.6,Optimal,False
SKU1027,Home_Item_8,Home & Kitchen,Supplier_A,2448,452945.4,194.56,3.04,2.91,4.48,2.91,1633.49,19.46,410,8,22,100.0,C,68,24.02,15.2,Optimal,False
